Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
July 31 2020,Fairbanks North Star,AK,Passenger,0,1,1,97,98,1.02
July 31 2017,Dallas,TX,Passenger,0,1,1,184,185,0.54
December 31 2018,El Paso,CO,Passenger,3,1,4,773,777,0.51
September 30 2022,Onslow,NC,Passenger,0,1,1,168,169,0.59
May 31 2023,Honolulu,HI,Passenger,3,3,6,278,284,2.11
February 28 2023,DeKalb,GA,Passenger,2,0,2,47,49,4.08
August 31 2017,Monterey,CA,Passenger,0,2,2,196,198,1.01
July 31 2020,Hudson,NJ,Passenger,1,0,1,39,40,2.50
July 31 2020,Montgomery,AL,Passenger,0,1,1,40,41,2.44
January 31 2018,Sumter,FL,Passenger,0,1,1,10,11,9.09
April 30 2018,Skamania,WA,Passenger,12,8,20,8703,8723,0.23
October 31 2022,Berkeley,SC,Passenger,0,1,1,114,115,0.87
March 31 2021,Clallam,WA,Passenger,299,199,498,50115,50613,0.98
October 31 2021,Clark,WA,Truck,0,0,0,83999,83999,0.00
November 30 2020,Columbia,WA,Truck,0,0,0,1529,1529,0.00
November 30 2022,St. Clair,IL,Passenger,1,0,1,115,116,0.86
December 31 2017,Dale,AL,Passenger,0,1,1,62,63,1.59
February 29 2020,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
January 31 2024,Santa Cruz,CA,Passenger,1,0,1,17,18,5.56
August 31 2019,Mercer,NJ,Passenger,0,1,1,19,20,5.00
June 30 2022,Carroll,MD,Passenger,0,1,1,16,17,5.88
September 30 2018,Nantucket,MA,Passenger,1,0,1,4,5,20.00
April 30 2022,RÃ­o Grande,PR,Passenger,1,0,1,0,1,100.00
September 30 2023,Cowlitz,WA,Passenger,537,233,770,69658,70428,1.09
June 30 2023,Jefferson,WA,Truck,12,0,12,9341,9353,0.13
October 31 2019,Alameda,CA,Passenger,4,1,5,306,311,1.61
October 31 2022,Lewis,WA,Passenger,260,179,439,59865,60304,0.73
January 31 2018,Kittitas,WA,Passenger,36,27,63,28636,28699,0.22
July 31 2020,Houston,GA,Passenger,1,0,1,55,56,1.79
January 31 2017,Allegheny,PA,Passenger,1,0,1,94,95,1.05
November 30 2022,Alexandria,VA,Passenger,4,1,5,97,102,4.90
August 31 2017,Albemarle,VA,Passenger,0,1,1,32,33,3.03
August 31 2021,Danville,VA,Passenger,1,0,1,0,1,100.00
July 31 2022,Prince George's,MD,Passenger,3,1,4,129,133,3.01
July 31 2020,Charleston,SC,Passenger,2,0,2,104,106,1.89
February 29 2020,Grant,WA,Passenger,58,70,128,65559,65687,0.19
July 31 2022,Clackamas,OR,Passenger,2,0,2,143,145,1.38
January 31 2020,Island,WA,Truck,1,0,1,21343,21344,0.00
February 28 2017,Deschutes,OR,Passenger,1,0,1,207,208,0.48
April 30 2023,Fulton,GA,Passenger,1,0,1,56,57,1.75
May 31 2022,DeKalb,GA,Passenger,1,0,1,53,54,1.85
July 31 2017,Hamilton,IN,Passenger,1,0,1,58,59,1.69
November 30 2017,Maricopa,AZ,Passenger,2,1,3,1674,1677,0.18
January 31 2019,Stevens,WA,Truck,0,0,0,18763,18763,0.00
July 31 2019,Solano,CA,Passenger,1,0,1,215,216,0.46
May 31 2020,Whatcom,WA,Truck,3,0,3,42842,42845,0.01
July 31 2019,Island,WA,Passenger,328,244,572,63458,64030,0.89
June 30 2023,Lincoln,WA,Truck,0,0,0,4863,4863,0.00
August 31 2021,Arlington,VA,Passenger,0,1,1,138,139,0.72
September 30 2020,Suffolk,VA,Passenger,1,0,1,123,124,0.81
August 31 2021,Essex,NJ,Passenger,2,0,2,12,14,14.29
September 30 2023,Williamson,TX,Passenger,0,1,1,37,38,2.63
February 28 2019,Grant,WA,Passenger,33,55,88,64274,64362,0.14
August 31 2023,Franklin,WA,Truck,6,0,6,20885,20891,0.03
March 31 2023,Columbia,WA,Passenger,8,1,9,2413,2422,0.37
November 30 2020,Douglas,NE,Passenger,0,1,1,53,54,1.85
March 31 2017,Orange,CA,Passenger,2,1,3,672,675,0.44
November 30 2022,Pacific,WA,Passenger,70,79,149,15730,15879,0.94
July 31 2022,Tarrant,TX,Passenger,2,0,2,117,119,1.68
September 30 2017,Santa Rosa,FL,Passenger,1,0,1,112,113,0.88
November 30 2020,Moore,NC,Passenger,0,1,1,156,157,0.64
May 31 2017,Carroll,NH,Passenger,0,1,1,0,1,100.00
May 31 2023,Carroll,MD,Passenger,0,1,1,18,19,5.26
September 30 2022,Walla Walla,WA,Passenger,187,104,291,35814,36105,0.81
July 31 2021,Montgomery,TN,Passenger,1,0,1,238,239,0.42
April 30 2018,Douglas,WA,Passenger,41,32,73,27440,27513,0.27
July 31 2020,Tarrant,TX,Passenger,1,0,1,179,180,0.56
May 31 2019,Walla Walla,WA,Passenger,46,57,103,36159,36262,0.28
September 30 2021,San Diego,CA,Passenger,17,7,24,2572,2596,0.92
March 31 2019,Columbia,WA,Truck,0,0,0,1527,1527,0.00
November 30 2018,Prince George's,MD,Passenger,1,1,2,186,188,1.06
July 31 2018,San Mateo,CA,Passenger,1,1,2,133,135,1.48
June 30 2020,San Joaquin,CA,Passenger,1,0,1,131,132,0.76
January 31 2017,Hardin,KY,Passenger,0,1,1,123,124,0.81
July 31 2023,Sacramento,CA,Truck,1,0,1,31,32,3.12
February 28 2021,San Juan,WA,Truck,0,0,0,5863,5863,0.00
November 30 2019,Asotin,WA,Passenger,13,8,21,12653,12674,0.17
April 30 2020,Clackamas,OR,Passenger,2,0,2,201,203,0.99
September 30 2017,Okanogan,WA,Passenger,5,18,23,25682,25705,0.09
April 30 2022,,,Passenger,5,1,6,308,314,1.91
August 31 2017,Garfield,WA,Passenger,1,0,1,1302,1303,0.08
October 31 2022,Thurston,WA,Truck,30,0,30,54820,54850,0.05
October 31 2019,Middlesex,MA,Passenger,1,1,2,109,111,1.80
August 31 2020,New Haven,CT,Passenger,0,2,2,35,37,5.41
July 31 2022,Middlesex,NJ,Passenger,1,0,1,20,21,4.76
March 31 2018,King,WA,Passenger,11969,5151,17120,1367681,1384801,1.24
January 31 2024,Maricopa,AZ,Passenger,5,1,6,526,532,1.13
April 30 2022,Mason,WA,Passenger,293,178,471,47491,47962,0.98
March 31 2023,Pacific,WA,Passenger,75,84,159,15635,15794,1.01
April 30 2022,Ferry,WA,Passenger,19,4,23,4405,4428,0.52
January 31 2018,Lane,OR,Passenger,0,1,1,204,205,0.49
March 31 2020,Juneau,AK,Passenger,0,2,2,30,32,6.25
August 31 2022,Eagle,CO,Passenger,1,0,1,7,8,12.50
January 31 2018,Nantucket,MA,Passenger,1,0,1,3,4,25.00
November 30 2019,Franklin,MA,Passenger,0,1,1,1,2,50.00
August 31 2020,Kitsap,WA,Passenger,1399,698,2097,179574,181671,1.15
May 31 2020,Skamania,WA,Truck,0,0,0,4027,4027,0.00
January 31 2024,Honolulu,HI,Passenger,4,2,6,219,225,2.67
July 31 2023,Grant,WA,Passenger,296,131,427,67153,67580,0.63
January 31 2020,Walla Walla,WA,Truck,0,0,0,13707,13707,0.00
February 28 2017,Anne Arundel,MD,Passenger,0,1,1,510,511,0.20
December 31 2017,Fulton,GA,Passenger,1,0,1,105,106,0.94
May 31 2022,Fairbanks North Star,AK,Passenger,0,1,1,80,81,1.23
January 31 2020,Jefferson,NY,Passenger,0,1,1,217,218,0.46
March 31 2018,Allegheny,PA,Passenger,1,0,1,81,82,1.22
April 30 2020,Moore,NC,Passenger,0,1,1,165,166,0.60
February 28 2017,Orange,FL,Passenger,1,1,2,151,153,1.31
December 31 2019,Lee,FL,Passenger,1,0,1,54,55,1.82
October 31 2019,Shelby,OH,Passenger,0,1,1,2,3,33.33
October 31 2020,Lake,FL,Passenger,1,0,1,23,24,4.17
February 28 2023,Grays Harbor,WA,Passenger,272,171,443,48596,49039,0.90
October 31 2021,Asotin,WA,Passenger,21,17,38,12760,12798,0.30
July 31 2017,Snohomish,WA,Truck,1,0,1,121769,121770,0.00
December 31 2019,Orange,CA,Passenger,7,2,9,531,540,1.67
December 31 2017,San Diego,CA,Passenger,6,1,7,2569,2576,0.27
June 30 2023,Cumberland,NC,Passenger,1,4,5,312,317,1.58
March 31 2023,Ventura,CA,Passenger,3,2,5,216,221,2.26
July 31 2022,Hudson,NJ,Passenger,2,0,2,39,41,4.88
September 30 2022,Lee,FL,Passenger,1,0,1,33,34,2.94
March 31 2018,Hamilton,TN,Passenger,1,0,1,23,24,4.17
August 31 2018,Walla Walla,WA,Truck,0,0,0,13499,13499,0.00
April 30 2018,Cowlitz,WA,Truck,0,0,0,28289,28289,0.00
May 31 2022,Montgomery,AL,Passenger,0,1,1,37,38,2.63
November 30 2017,Lane,OR,Passenger,0,1,1,210,211,0.47
September 30 2017,District of Columbia,DC,Passenger,0,2,2,203,205,0.98
March 31 2023,DeKalb,GA,Passenger,2,0,2,46,48,4.17
December 31 2017,Northampton,PA,Passenger,0,1,1,67,68,1.47
November 30 2017,Marin,CA,Passenger,1,0,1,56,57,1.75
October 31 2017,Twin Falls,ID,Passenger,0,1,1,25,26,3.85
July 31 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
July 31 2019,Lake,CA,Passenger,0,1,1,9,10,10.00
July 31 2023,Grays Harbor,WA,Passenger,317,193,510,48223,48733,1.05
September 30 2017,Columbia,WA,Truck,0,0,0,1558,1558,0.00
January 31 2024,Snohomish,WA,Truck,287,0,287,116246,116533,0.25
May 31 2020,El Paso,CO,Passenger,2,1,3,732,735,0.41
January 31 2024,Whatcom,WA,Truck,86,0,86,41065,41151,0.21
March 31 2018,Riverside,CA,Passenger,2,2,4,704,708,0.56
April 30 2022,Montgomery,TN,Passenger,1,0,1,208,209,0.48
December 31 2023,El Paso,TX,Passenger,3,0,3,248,251,1.20
July 31 2023,Autauga,AL,Passenger,2,0,2,13,15,13.33
May 31 2021,Dallas,TX,Passenger,1,0,1,169,170,0.59
July 31 2022,Charleston,SC,Passenger,2,2,4,69,73,5.48
November 30 2020,Pend Oreille,WA,Truck,0,0,0,5717,5717,0.00
July 31 2019,Asotin,WA,Passenger,12,8,20,12655,12675,0.16
December 31 2018,Skamania,WA,Passenger,16,13,29,8728,8757,0.33
August 31 2020,Ferry,WA,Truck,0,0,0,3583,3583,0.00
August 31 2023,Clark,WA,Passenger,6361,2435,8796,313007,321803,2.73
September 30 2019,Cowlitz,WA,Passenger,106,106,212,73302,73514,0.29
February 28 2018,Grant,WA,Passenger,31,38,69,62316,62385,0.11
June 30 2023,Pima,AZ,Passenger,1,0,1,179,180,0.56
July 31 2020,Vigo,IN,Passenger,1,0,1,5,6,16.67
May 31 2017,Norfolk,MA,Passenger,1,0,1,40,41,2.44
October 31 2018,Wahkiakum,WA,Passenger,1,1,2,2983,2985,0.07
May 31 2021,Williams,ND,Passenger,0,1,1,7,8,12.50
July 31 2020,DeKalb,GA,Passenger,1,0,1,80,81,1.23
January 31 2021,Calvert,MD,Passenger,0,2,2,85,87,2.30
October 31 2022,Providence,RI,Passenger,1,0,1,20,21,4.76
June 30 2023,Albemarle,VA,Passenger,2,0,2,15,17,11.76
October 31 2017,Pierce,WA,Passenger,1040,916,1956,525407,527363,0.37
April 30 2019,Jefferson,NY,Passenger,0,2,2,222,224,0.89
November 30 2018,Garfield,OK,Passenger,1,0,1,14,15,6.67
November 30 2021,Pennington,SD,Passenger,1,0,1,33,34,2.94
July 31 2023,Tooele,UT,Passenger,1,0,1,8,9,11.11
June 30 2023,Napa,CA,Passenger,0,1,1,11,12,8.33
November 30 2020,Harrison,MS,Passenger,1,0,1,56,57,1.75
January 31 2018,El Paso,CO,Passenger,2,0,2,766,768,0.26
July 31 2018,Washington,OR,Passenger,0,1,1,482,483,0.21
March 31 2021,Grant,WA,Truck,0,0,0,27755,27755,0.00
December 31 2018,Goochland,VA,Passenger,0,1,1,245,246,0.41
September 30 2023,Ventura,CA,Passenger,2,2,4,189,193,2.07
July 31 2022,San Joaquin,CA,Passenger,1,1,2,92,94,2.13
September 30 2022,Palm Beach,FL,Passenger,0,1,1,50,51,1.96
September 30 2022,Moore,NC,Passenger,0,1,1,109,110,0.91
May 31 2022,Owyhee,ID,Passenger,1,0,1,2,3,33.33
December 31 2020,Asotin,WA,Truck,0,0,0,6676,6676,0.00
November 30 2017,Snohomish,WA,Passenger,1987,1018,3005,515960,518965,0.58
December 31 2020,Anne Arundel,MD,Passenger,1,1,2,399,401,0.50
October 31 2019,Wahkiakum,WA,Truck,0,0,0,1752,1752,0.00
September 30 2018,Stevens,WA,Truck,0,0,0,18674,18674,0.00
September 30 2020,Washington,OR,Passenger,1,0,1,436,437,0.23
December 31 2021,Plaquemines,LA,Passenger,0,1,1,19,20,5.00
January 31 2017,Santa Fe,NM,Passenger,0,1,1,44,45,2.22
December 31 2017,Franklin,MA,Passenger,0,1,1,4,5,20.00
May 31 2021,King,WA,Passenger,30037,8920,38957,1368017,1406974,2.77
April 30 2018,Franklin,WA,Truck,0,0,0,18595,18595,0.00
September 30 2018,Asotin,WA,Passenger,11,8,19,12676,12695,0.15
November 30 2017,Clay,FL,Passenger,0,1,1,107,108,0.93
February 28 2021,Placer,CA,Passenger,2,0,2,82,84,2.38
August 31 2023,York,VA,Passenger,1,0,1,69,70,1.43
February 28 2019,Larimer,CO,Passenger,1,0,1,57,58,1.72
December 31 2022,Champaign,IL,Passenger,1,0,1,12,13,7.69
August 31 2019,Monroe,IL,Passenger,1,0,1,4,5,20.00
October 31 2023,San Diego,CA,Passenger,16,9,25,1910,1935,1.29
June 30 2017,Honolulu,HI,Passenger,3,2,5,601,606,0.83
February 28 2022,Monterey,CA,Passenger,0,2,2,141,143,1.40
April 30 2020,Franklin,WA,Passenger,58,76,134,60718,60852,0.22
May 31 2018,Snohomish,WA,Passenger,2281,1222,3503,519972,523475,0.67
January 31 2022,Clallam,WA,Passenger,391,241,632,50228,50860,1.24
May 31 2020,Lewis,WA,Truck,0,0,0,26000,26000,0.00
February 28 2021,Thurston,WA,Truck,0,0,0,56435,56435,0.00
May 31 2022,Mason,WA,Truck,1,0,1,21041,21042,0.00
November 30 2023,El Dorado,CA,Passenger,1,0,1,16,17,5.88
January 31 2021,Jefferson,NY,Passenger,0,1,1,212,213,0.47
March 31 2023,Frederick,MD,Passenger,1,0,1,56,57,1.75
September 30 2021,Montgomery,PA,Passenger,2,0,2,23,25,8.00
December 31 2023,Goochland,VA,Passenger,0,1,1,23,24,4.17
January 31 2024,Goochland,VA,Passenger,0,1,1,18,19,5.26
January 31 2020,Clallam,WA,Truck,1,0,1,21848,21849,0.00
June 30 2021,Clallam,WA,Passenger,329,217,546,50485,51031,1.07
December 31 2022,Mason,WA,Truck,6,0,6,20844,20850,0.03
April 30 2022,Orange,FL,Passenger,2,0,2,104,106,1.89
July 31 2021,Tarrant,TX,Passenger,1,0,1,149,150,0.67
December 31 2021,Lake,IL,Passenger,3,0,3,161,164,1.83
June 30 2021,Spartanburg,SC,Passenger,0,1,1,52,53,1.89
April 30 2022,Philadelphia,PA,Passenger,1,0,1,41,42,2.38
February 28 2021,Whitman,WA,Truck,0,0,0,8517,8517,0.00
March 31 2018,Franklin,WA,Passenger,34,55,89,57209,57298,0.16
November 30 2021,Adams,WA,Passenger,16,14,30,13036,13066,0.23
April 30 2017,Kitsap,WA,Truck,1,0,1,52314,52315,0.00
September 30 2021,Franklin,WA,Passenger,138,100,238,62107,62345,0.38
January 31 2021,El Dorado,CA,Passenger,1,0,1,36,37,2.70
April 30 2022,Henrico,VA,Passenger,0,1,1,13,14,7.14
March 31 2022,Collin,TX,Passenger,3,0,3,102,105,2.86
July 31 2021,Yakima,WA,Passenger,237,161,398,169266,169664,0.23
January 31 2024,Mason,WA,Truck,19,0,19,19702,19721,0.10
January 31 2018,Douglas,WA,Truck,0,0,0,11789,11789,0.00
April 30 2017,Benton,WA,Passenger,143,140,283,128073,128356,0.22
August 31 2018,Washington,OR,Passenger,0,1,1,475,476,0.21
September 30 2022,Goochland,VA,Passenger,1,2,3,97,100,3.00
June 30 2023,Anne Arundel,MD,Passenger,5,3,8,288,296,2.70
April 30 2017,Travis,TX,Passenger,1,1,2,198,200,1.00
July 31 2019,Cascade,MT,Passenger,0,1,1,66,67,1.49
August 31 2021,Hennepin,MN,Passenger,3,0,3,74,77,3.90
November 30 2020,Carson City,NV,Passenger,1,0,1,12,13,7.69
January 31 2023,Randolph,NC,Passenger,1,0,1,5,6,16.67
September 30 2018,Grays Harbor,WA,Truck,0,0,0,20304,20304,0.00
September 30 2023,Alameda,CA,Passenger,4,1,5,157,162,3.09
February 28 2018,Cook,IL,Passenger,1,0,1,288,289,0.35
January 31 2022,Collier,FL,Passenger,1,0,1,19,20,5.00
August 31 2020,Alexandria,VA,Passenger,3,0,3,129,132,2.27
May 31 2019,Clark,WA,Truck,0,0,0,80177,80177,0.00
November 30 2017,Skamania,WA,Passenger,10,7,17,8575,8592,0.20
January 31 2022,Klamath,OR,Passenger,1,0,1,32,33,3.03
December 31 2023,Lake,IL,Passenger,5,0,5,115,120,4.17
November 30 2022,Geary,KS,Passenger,1,0,1,80,81,1.23
April 30 2020,Nueces,TX,Passenger,1,0,1,80,81,1.23
November 30 2021,Plaquemines,LA,Passenger,0,1,1,19,20,5.00
May 31 2023,Wichita,TX,Passenger,2,0,2,32,34,5.88
September 30 2019,Kent,MI,Passenger,0,1,1,25,26,3.85
August 31 2021,Sevier,AR,Passenger,0,1,1,0,1,100.00
January 31 2021,New London,CT,Passenger,1,1,2,230,232,0.86
March 31 2021,Chelan,WA,Passenger,304,94,398,54532,54930,0.72
December 31 2017,Bexar,TX,Passenger,1,2,3,828,831,0.36
February 29 2020,Harrison,MS,Passenger,1,0,1,63,64,1.56
December 31 2020,Williams,ND,Passenger,0,1,1,10,11,9.09
February 29 2020,Columbia,OR,Passenger,1,0,1,28,29,3.45
August 31 2017,Essex,NJ,Passenger,1,0,1,15,16,6.25
October 31 2019,Albemarle,VA,Passenger,1,0,1,27,28,3.57
July 31 2019,Cowlitz,WA,Passenger,106,107,213,73135,73348,0.29
October 31 2023,Snohomish,WA,Passenger,15059,3385,18444,523803,542247,3.40
April 30 2017,Virginia Beach,VA,Passenger,2,1,3,641,644,0.47
January 31 2022,Klickitat,WA,Passenger,90,54,144,15301,15445,0.93
July 31 2018,Snohomish,WA,Truck,1,0,1,121680,121681,0.00
October 31 2022,Yellowstone,MT,Passenger,0,1,1,18,19,5.26
June 30 2023,Hardin,KY,Passenger,1,0,1,53,54,1.85
July 31 2018,Beaufort,SC,Passenger,1,0,1,39,40,2.50
February 28 2022,Clark,WA,Passenger,3627,1598,5225,318945,324170,1.61
January 31 2022,Spokane,WA,Truck,0,0,0,102586,102586,0.00
April 30 2017,Cobb,GA,Passenger,0,1,1,80,81,1.23
November 30 2022,Escambia,FL,Passenger,0,1,1,143,144,0.69
January 31 2018,Norfolk,MA,Passenger,1,0,1,37,38,2.63
August 31 2020,Bucks,PA,Passenger,1,0,1,22,23,4.35
June 30 2023,San Bernardino,CA,Passenger,3,1,4,271,275,1.45
May 31 2020,Camden,NJ,Passenger,0,1,1,22,23,4.35
October 31 2019,Monroe,IL,Passenger,1,0,1,4,5,20.00
October 31 2020,Monroe,IL,Passenger,1,0,1,2,3,33.33
December 31 2022,Clallam,WA,Truck,8,0,8,21865,21873,0.04
June 30 2020,Kern,CA,Passenger,0,1,1,226,227,0.44
March 31 2017,Franklin,WA,Passenger,26,47,73,55304,55377,0.13
March 31 2020,Fairfax,VA,Passenger,5,3,8,760,768,1.04
April 30 2017,Lincoln,WA,Truck,0,0,0,4464,4464,0.00
January 31 2022,Chelan,WA,Truck,0,0,0,23058,23058,0.00
April 30 2019,Montgomery,TX,Passenger,2,0,2,64,66,3.03
August 31 2019,Fulton,GA,Passenger,0,2,2,103,105,1.90
September 30 2023,Brevard,FL,Passenger,1,0,1,50,51,1.96
July 31 2022,Gwinnett,GA,Passenger,1,0,1,50,51,1.96
October 31 2018,St. Lucie,FL,Passenger,1,0,1,29,30,3.33
June 30 2023,Orange,NC,Passenger,0,1,1,5,6,16.67
February 28 2022,Sevier,AR,Passenger,0,1,1,0,1,100.00
October 31 2022,Whatcom,WA,Passenger,1992,784,2776,148610,151386,1.83
May 31 2019,Jefferson,WA,Truck,0,0,0,9665,9665,0.00
February 28 2023,Solano,CA,Passenger,4,0,4,145,149,2.68
October 31 2022,District of Columbia,DC,Passenger,2,0,2,163,165,1.21
July 31 2019,Manassas,VA,Passenger,0,1,1,9,10,10.00
January 31 2017,Bergen,NJ,Passenger,0,2,2,34,36,5.56
February 28 2019,DeKalb,GA,Passenger,1,0,1,79,80,1.25
September 30 2023,Washington,MD,Passenger,1,0,1,11,12,8.33
July 31 2022,Rock Island,IL,Passenger,0,1,1,12,13,7.69
August 31 2020,Randolph,NC,Passenger,1,0,1,8,9,11.11
December 31 2017,Yakima,WA,Passenger,59,75,134,162066,162200,0.08
February 28 2017,Pacific,WA,Passenger,5,6,11,14990,15001,0.07
September 30 2020,Klamath,OR,Passenger,1,0,1,35,36,2.78
April 30 2022,Snohomish,WA,Passenger,7963,2417,10380,533733,544113,1.91
April 30 2022,Deschutes,OR,Passenger,2,0,2,99,101,1.98
September 30 2019,Santa Clara,CA,Passenger,4,2,6,371,377,1.59
December 31 2022,Benton,WA,Passenger,930,500,1430,135696,137126,1.04
October 31 2022,Arapahoe,CO,Passenger,0,1,1,86,87,1.15
March 31 2023,Muscogee,GA,Passenger,0,1,1,104,105,0.95
November 30 2022,Essex,NJ,Passenger,2,0,2,11,13,15.38
December 31 2019,Klickitat,WA,Passenger,46,38,84,15671,15755,0.53
January 31 2024,Ferry,WA,Truck,0,0,0,3386,3386,0.00
June 30 2018,Charleston,SC,Passenger,1,0,1,128,129,0.78
March 31 2020,Maricopa,AZ,Passenger,7,8,15,1544,1559,0.96
October 31 2022,Whitman,WA,Truck,3,0,3,8600,8603,0.03
March 31 2020,Dakota,MN,Passenger,0,1,1,31,32,3.12
November 30 2023,Goochland,VA,Passenger,1,2,3,24,27,11.11
February 28 2023,Lake,IN,Passenger,0,1,1,9,10,10.00
May 31 2023,Madison,IL,Passenger,2,0,2,14,16,12.50
October 31 2020,Kent,MI,Passenger,0,1,1,25,26,3.85
February 28 2021,Columbia,WA,Truck,0,0,0,1542,1542,0.00
January 31 2022,Columbia,WA,Passenger,6,2,8,2450,2458,0.33
January 31 2020,Cochise,AZ,Passenger,0,1,1,103,104,0.96
July 31 2019,Guadalupe,TX,Passenger,1,0,1,77,78,1.28
January 31 2018,Hamilton,TN,Passenger,1,0,1,21,22,4.55
February 28 2022,Williams,ND,Passenger,0,1,1,7,8,12.50
September 30 2020,Walla Walla,WA,Passenger,86,62,148,35935,36083,0.41
August 31 2018,Collin,TX,Passenger,1,0,1,158,159,0.63
October 31 2022,Marion,IA,Passenger,1,0,1,0,1,100.00
May 31 2018,Skamania,WA,Truck,0,0,0,3918,3918,0.00
December 31 2021,Pacific,WA,Passenger,51,64,115,16059,16174,0.71
March 31 2022,Cowlitz,WA,Passenger,293,172,465,71050,71515,0.65
March 31 2017,Wahkiakum,WA,Truck,0,0,0,1635,1635,0.00
April 30 2019,Snohomish,WA,Passenger,3291,1539,4830,529067,533897,0.90
October 31 2017,Nueces,TX,Passenger,0,1,1,93,94,1.06
August 31 2023,Escambia,FL,Passenger,0,1,1,127,128,0.78
March 31 2017,Jackson,MO,Passenger,1,0,1,70,71,1.41
June 30 2023,Santa Barbara,CA,Passenger,1,0,1,66,67,1.49
May 31 2021,Placer,CA,Passenger,2,0,2,83,85,2.35
July 31 2023,Arapahoe,CO,Passenger,1,1,2,73,75,2.67
November 30 2018,Portsmouth,VA,Passenger,0,1,1,79,80,1.25
July 31 2022,Santa Cruz,CA,Passenger,1,0,1,26,27,3.70
March 31 2018,Twin Falls,ID,Passenger,0,1,1,25,26,3.85
September 30 2017,Eagle,CO,Passenger,1,0,1,7,8,12.50
October 31 2019,Honolulu,HI,Passenger,4,2,6,504,510,1.18
January 31 2022,Walla Walla,WA,Truck,0,0,0,14102,14102,0.00
May 31 2021,Travis,TX,Passenger,3,3,6,174,180,3.33
February 29 2020,Pend Oreille,WA,Passenger,8,7,15,9454,9469,0.16
October 31 2022,Collier,FL,Passenger,1,0,1,15,16,6.25
May 31 2017,King,WA,Passenger,9794,3989,13783,1376923,1390706,0.99
August 31 2019,Ferry,WA,Truck,0,0,0,3580,3580,0.00
June 30 2021,Walla Walla,WA,Truck,0,0,0,14075,14075,0.00
January 31 2024,San Mateo,CA,Passenger,1,0,1,50,51,1.96
August 31 2021,Lake,IL,Passenger,2,0,2,168,170,1.18
August 31 2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33
September 30 2023,Orange,FL,Passenger,1,0,1,55,56,1.79
May 31 2020,Albemarle,VA,Passenger,1,0,1,22,23,4.35
May 31 2020,Powhatan,VA,Passenger,1,0,1,0,1,100.00
April 30 2017,Pierce,WA,Passenger,917,807,1724,525667,527391,0.33
December 31 2019,Thurston,WA,Passenger,1052,700,1752,199120,200872,0.87
November 30 2018,Whitman,WA,Passenger,20,35,55,22788,22843,0.24
September 30 2022,Cowlitz,WA,Passenger,368,180,548,70317,70865,0.77
December 31 2017,Garfield,WA,Truck,0,0,0,942,942,0.00
February 28 2018,El Paso,CO,Passenger,2,0,2,768,770,0.26
May 31 2020,Jefferson,WA,Truck,0,0,0,9508,9508,0.00
September 30 2022,Walla Walla,WA,Truck,2,0,2,13940,13942,0.01
September 30 2019,Prince George's,MD,Passenger,1,1,2,180,182,1.10
October 31 2018,Yakima,WA,Truck,0,0,0,58751,58751,0.00
November 30 2021,Milwaukee,WI,Passenger,1,0,1,38,39,2.56
June 30 2021,Middlesex,MA,Passenger,1,1,2,99,101,1.98
January 31 2024,Ada,ID,Passenger,2,0,2,79,81,2.47
April 30 2021,Pinellas,FL,Passenger,1,1,2,101,103,1.94
May 31 2019,Hennepin,MN,Passenger,2,0,2,101,103,1.94
August 31 2019,Manassas,VA,Passenger,0,1,1,8,9,11.11
June 30 2019,Volusia,FL,Passenger,0,1,1,41,42,2.38
December 31 2021,Greene,MO,Passenger,0,1,1,29,30,3.33
January 31 2020,Lee,FL,Passenger,1,0,1,53,54,1.85
June 30 2019,Larimer,CO,Passenger,1,0,1,57,58,1.72
January 31 2021,Dallas,IA,Passenger,0,1,1,10,11,9.09
December 31 2018,Arlington,VA,Passenger,1,1,2,168,170,1.18
December 31 2021,St. Clair,IL,Passenger,1,0,1,122,123,0.81
May 31 2022,Wahkiakum,WA,Truck,0,0,0,1803,1803,0.00
August 31 2022,Contra Costa,CA,Passenger,0,4,4,229,233,1.72
May 31 2018,Garfield,WA,Truck,0,0,0,955,955,0.00
July 31 2021,Fort Bend,TX,Passenger,1,0,1,37,38,2.63
September 30 2021,Anchorage,AK,Passenger,1,0,1,149,150,0.67
December 31 2022,Yakima,WA,Passenger,425,218,643,166331,166974,0.39
May 31 2021,Adams,WA,Truck,0,0,0,5373,5373,0.00
June 30 2018,Asotin,WA,Passenger,9,6,15,12599,12614,0.12
May 31 2020,Pinal,AZ,Passenger,1,0,1,190,191,0.52
January 31 2024,Walla Walla,WA,Truck,10,0,10,13241,13251,0.08
March 31 2019,St. Mary's,MD,Passenger,1,0,1,213,214,0.47
November 30 2019,Spartanburg,SC,Passenger,0,1,1,45,46,2.17
May 31 2017,Franklin,OH,Passenger,0,1,1,122,123,0.81
December 31 2018,Larimer,CO,Passenger,1,0,1,60,61,1.64
September 30 2019,Shelby,OH,Passenger,0,1,1,2,3,33.33
June 30 2022,Louisa,VA,Passenger,0,1,1,1,2,50.00
