Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2018,Manatee,FL,Passenger,1,0,1,38,39,2.56
March 31 2023,Parker,TX,Passenger,0,1,1,16,17,5.88
December 31 2018,Okanogan,WA,Passenger,16,22,38,26064,26102,0.15
November 30 2017,Clark,WA,Truck,0,0,0,78237,78237,0.00
November 30 2020,Sacramento,CA,Passenger,2,1,3,264,267,1.12
October 31 2018,Marion,IN,Passenger,1,0,1,121,122,0.82
August 31 2019,Cascade,MT,Passenger,0,1,1,65,66,1.52
September 30 2018,New Haven,CT,Passenger,0,1,1,47,48,2.08
January 31 2018,Carroll,NH,Passenger,0,1,1,1,2,50.00
August 31 2023,Wake,NC,Passenger,1,0,1,74,75,1.33
December 31 2022,Tooele,UT,Passenger,1,0,1,7,8,12.50
July 31 2019,Randolph,NC,Passenger,1,0,1,6,7,14.29
June 30 2021,Lewis,WA,Passenger,163,139,302,59664,59966,0.50
March 31 2021,Saginaw,MI,Passenger,2,0,2,12,14,14.29
June 30 2021,New London,CT,Passenger,1,1,2,223,225,0.89
October 31 2019,Thurston,WA,Truck,0,0,0,55641,55641,0.00
September 30 2023,Jefferson,WA,Truck,12,0,12,9249,9261,0.13
December 31 2017,Walla Walla,WA,Passenger,29,32,61,35285,35346,0.17
October 31 2017,Garfield,WA,Truck,0,0,0,942,942,0.00
February 28 2022,Jefferson,NY,Passenger,1,1,2,210,212,0.94
May 31 2023,Bexar,TX,Passenger,3,3,6,376,382,1.57
June 30 2021,Bucks,PA,Passenger,1,0,1,18,19,5.26
November 30 2018,Santa Fe,NM,Passenger,0,1,1,44,45,2.22
March 31 2017,Portsmouth,VA,Passenger,0,1,1,66,67,1.49
August 31 2017,Manatee,FL,Passenger,1,0,1,42,43,2.33
December 31 2021,Kauai,HI,Passenger,1,0,1,19,20,5.00
March 31 2019,Flathead,MT,Passenger,1,0,1,65,66,1.52
March 31 2022,Juneau,AK,Passenger,0,1,1,30,31,3.23
July 31 2021,Oldham,KY,Passenger,0,1,1,4,5,20.00
June 30 2019,DeKalb,IN,Passenger,1,0,1,1,2,50.00
May 31 2018,Pierce,WA,Passenger,1185,1125,2310,530394,532704,0.43
July 31 2020,Grays Harbor,WA,Truck,0,0,0,20977,20977,0.00
February 28 2018,Pacific,WA,Passenger,15,17,32,15458,15490,0.21
January 31 2019,El Paso,TX,Passenger,2,0,2,502,504,0.40
August 31 2017,Jefferson,NY,Passenger,1,0,1,244,245,0.41
January 31 2022,Washtenaw,MI,Passenger,0,1,1,30,31,3.23
June 30 2023,Placer,CA,Passenger,1,0,1,59,60,1.67
July 31 2018,Thurston,WA,Passenger,577,496,1073,193693,194766,0.55
March 31 2022,Goochland,VA,Passenger,4,2,6,163,169,3.55
January 31 2017,Okanogan,WA,Passenger,3,15,18,25812,25830,0.07
June 30 2022,Montgomery,AL,Passenger,0,1,1,38,39,2.56
August 31 2019,Stafford,VA,Passenger,1,1,2,102,104,1.92
September 30 2020,Polk,FL,Passenger,1,0,1,65,66,1.52
April 30 2019,Charleston,SC,Passenger,1,0,1,125,126,0.79
November 30 2022,Virginia Beach,VA,Passenger,2,1,3,483,486,0.62
June 30 2021,Bexar,TX,Passenger,2,4,6,556,562,1.07
July 31 2022,Contra Costa,CA,Passenger,0,4,4,232,236,1.69
May 31 2018,Ferry,WA,Passenger,2,3,5,4416,4421,0.11
September 30 2020,Mason,WA,Truck,0,0,0,20793,20793,0.00
November 30 2019,Kootenai,ID,Passenger,1,1,2,230,232,0.86
December 31 2023,Multnomah,OR,Passenger,1,1,2,338,340,0.59
September 30 2021,Montgomery,TX,Passenger,1,1,2,43,45,4.44
March 31 2019,Bucks,PA,Passenger,1,0,1,19,20,5.00
March 31 2020,Tulsa,OK,Passenger,1,1,2,50,52,3.85
May 31 2022,Sonoma,CA,Passenger,0,1,1,85,86,1.16
January 31 2024,Washtenaw,MI,Passenger,0,2,2,15,17,11.76
June 30 2017,Prince William,VA,Passenger,0,4,4,272,276,1.45
May 31 2018,Kittitas,WA,Truck,0,0,0,14028,14028,0.00
February 28 2017,Clackamas,OR,Passenger,1,2,3,359,362,0.83
January 31 2017,Lincoln,WA,Truck,0,0,0,4462,4462,0.00
September 30 2021,Walla Walla,WA,Passenger,128,81,209,36428,36637,0.57
March 31 2021,District of Columbia,DC,Passenger,2,1,3,196,199,1.51
June 30 2022,Albemarle,VA,Passenger,3,0,3,20,23,13.04
May 31 2017,Nantucket,MA,Passenger,1,0,1,3,4,25.00
April 30 2023,Klickitat,WA,Truck,8,0,8,8267,8275,0.10
May 31 2020,Goochland,VA,Passenger,2,1,3,265,268,1.12
April 30 2020,,,Passenger,6,1,7,385,392,1.79
February 28 2018,Clallam,WA,Passenger,109,101,210,49362,49572,0.42
August 31 2018,Chelan,WA,Passenger,114,55,169,53720,53889,0.31
November 30 2021,Douglas,WA,Passenger,106,53,159,28603,28762,0.55
October 31 2019,Placer,CA,Passenger,1,0,1,100,101,0.99
May 31 2018,Wahkiakum,WA,Passenger,1,2,3,2902,2905,0.10
October 31 2018,Dallas,TX,Passenger,0,1,1,205,206,0.49
February 28 2023,Rockingham,NH,Passenger,1,0,1,13,14,7.14
July 31 2023,Salt Lake,UT,Passenger,1,1,2,100,102,1.96
September 30 2019,Pierce,WA,Passenger,1966,1601,3567,545264,548831,0.65
August 31 2020,Lincoln,WA,Passenger,5,11,16,7625,7641,0.21
March 31 2021,Franklin,WA,Truck,0,0,0,20605,20605,0.00
April 30 2021,Douglas,CO,Passenger,0,1,1,82,83,1.20
December 31 2019,Dallas,TX,Passenger,1,0,1,211,212,0.47
July 31 2022,San Mateo,CA,Passenger,2,0,2,84,86,2.33
December 31 2020,Cascade,MT,Passenger,0,1,1,60,61,1.64
November 30 2020,Suffolk,MA,Passenger,0,2,2,35,37,5.41
August 31 2020,Hennepin,MN,Passenger,3,0,3,90,93,3.23
May 31 2020,Maui,HI,Passenger,2,0,2,35,37,5.41
July 31 2023,Randolph,NC,Passenger,1,0,1,3,4,25.00
December 31 2017,Chelan,WA,Truck,0,0,0,21618,21618,0.00
November 30 2020,Lincoln,WA,Passenger,5,11,16,7616,7632,0.21
January 31 2018,Pend Oreille,WA,Passenger,4,4,8,9443,9451,0.08
April 30 2017,,,Passenger,2,0,2,466,468,0.43
June 30 2023,Suffolk,VA,Passenger,1,0,1,101,102,0.98
April 30 2021,New York,NY,Passenger,1,0,1,50,51,1.96
January 31 2018,Montgomery,TX,Passenger,1,0,1,62,63,1.59
December 31 2019,San Mateo,CA,Passenger,1,1,2,127,129,1.55
July 31 2021,Lee,FL,Passenger,1,0,1,38,39,2.56
April 30 2023,Columbia,OR,Passenger,1,0,1,14,15,6.67
February 28 2018,Chelan,WA,Truck,0,0,0,21667,21667,0.00
April 30 2023,Franklin,WA,Passenger,299,134,433,61960,62393,0.69
July 31 2021,Orange,CA,Passenger,5,3,8,438,446,1.79
December 31 2019,Kittitas,WA,Truck,0,0,0,14626,14626,0.00
August 31 2019,Franklin,WA,Truck,0,0,0,19489,19489,0.00
June 30 2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33
August 31 2021,Santa Cruz,CA,Passenger,1,0,1,28,29,3.45
August 31 2021,Currituck,NC,Passenger,1,0,1,25,26,3.85
February 28 2021,Sumter,FL,Passenger,0,1,1,10,11,9.09
September 30 2019,St. Mary's,MD,Passenger,1,0,1,219,220,0.45
May 31 2023,Wahkiakum,WA,Passenger,25,17,42,3031,3073,1.37
September 30 2018,Klickitat,WA,Passenger,24,32,56,15360,15416,0.36
December 31 2020,Douglas,CO,Passenger,0,1,1,84,85,1.18
February 28 2018,Riverside,CA,Passenger,2,2,4,720,724,0.55
October 31 2020,El Paso,CO,Passenger,2,1,3,718,721,0.42
May 31 2020,San Juan,WA,Truck,0,0,0,5857,5857,0.00
May 31 2023,Benton,WA,Passenger,1119,561,1680,135609,137289,1.22
November 30 2023,Montgomery,TN,Passenger,1,0,1,130,131,0.76
April 30 2020,Cochise,AZ,Passenger,0,1,1,100,101,0.99
November 30 2022,DuPage,IL,Passenger,1,1,2,42,44,4.55
August 31 2018,Washtenaw,MI,Passenger,1,0,1,38,39,2.56
December 31 2019,Lewis,WA,Passenger,106,102,208,59543,59751,0.35
November 30 2022,Whatcom,WA,Passenger,2056,798,2854,148718,151572,1.88
November 30 2017,Skagit,WA,Truck,1,0,1,31685,31686,0.00
September 30 2023,Loudoun,VA,Passenger,2,1,3,56,59,5.08
May 31 2017,Canyon,ID,Passenger,0,1,1,104,105,0.95
May 31 2018,Santa Rosa,FL,Passenger,1,0,1,99,100,1.00
August 31 2020,Suffolk,MA,Passenger,0,2,2,37,39,5.13
May 31 2017,Manatee,FL,Passenger,1,0,1,47,48,2.08
May 31 2020,Gwinnett,GA,Passenger,1,0,1,75,76,1.32
October 31 2023,Meade,KY,Passenger,1,0,1,12,13,7.69
August 31 2021,Wilson,TX,Passenger,0,1,1,4,5,20.00
October 31 2023,Los Angeles,CA,Passenger,5,4,9,552,561,1.60
May 31 2020,Howard,MD,Passenger,0,1,1,80,81,1.23
May 31 2021,Washington,OR,Passenger,1,0,1,399,400,0.25
May 31 2022,Solano,CA,Passenger,1,0,1,167,168,0.60
July 31 2019,Vigo,IN,Passenger,1,0,1,6,7,14.29
August 31 2020,Douglas,CO,Passenger,0,1,1,84,85,1.18
February 28 2019,Pierce,WA,Truck,0,0,0,138912,138912,0.00
August 31 2022,Clark,WA,Truck,17,0,17,82341,82358,0.02
June 30 2023,Franklin,WA,Truck,5,0,5,20938,20943,0.02
June 30 2020,Skamania,WA,Truck,0,0,0,4009,4009,0.00
September 30 2022,Lincoln,WA,Passenger,10,16,26,7716,7742,0.34
January 31 2022,Island,WA,Passenger,733,344,1077,62464,63541,1.69
January 31 2023,Shasta,CA,Passenger,1,0,1,23,24,4.17
November 30 2019,Pinellas,FL,Passenger,1,1,2,118,120,1.67
September 30 2020,El Dorado,CA,Passenger,1,0,1,37,38,2.63
February 28 2022,Currituck,NC,Passenger,1,0,1,23,24,4.17
March 31 2019,Santa Cruz,CA,Passenger,1,0,1,43,44,2.27
November 30 2018,Washington,OR,Passenger,0,1,1,475,476,0.21
May 31 2021,Mason,WA,Passenger,207,136,343,48099,48442,0.71
January 31 2019,Chelan,WA,Passenger,140,64,204,54205,54409,0.37
December 31 2023,Franklin,WA,Passenger,376,160,536,61205,61741,0.87
July 31 2022,Anne Arundel,MD,Passenger,4,3,7,340,347,2.02
October 31 2018,San Francisco,CA,Passenger,1,1,2,120,122,1.64
January 31 2018,Santa Fe,NM,Passenger,0,1,1,44,45,2.22
November 30 2017,Queens,NY,Passenger,1,0,1,61,62,1.61
August 31 2018,Pierce,WA,Passenger,1303,1224,2527,534763,537290,0.47
November 30 2019,Ventura,CA,Passenger,0,2,2,309,311,0.64
November 30 2019,Duval,FL,Passenger,1,2,3,378,381,0.79
December 31 2023,Kern,CA,Passenger,1,1,2,152,154,1.30
December 31 2022,Lincoln,WA,Passenger,12,18,30,7761,7791,0.39
March 31 2018,Asotin,WA,Passenger,8,5,13,12622,12635,0.10
November 30 2021,Thurston,WA,Truck,0,0,0,56126,56126,0.00
October 31 2023,Chelan,WA,Passenger,695,197,892,53836,54728,1.63
June 30 2018,Chelan,WA,Passenger,110,53,163,53552,53715,0.30
September 30 2021,Vigo,IN,Passenger,1,0,1,5,6,16.67
December 31 2021,Calvert,MD,Passenger,0,2,2,81,83,2.41
December 31 2019,Washtenaw,MI,Passenger,1,0,1,41,42,2.38
September 30 2022,Lake,IN,Passenger,0,1,1,10,11,9.09
September 30 2021,Skagit,WA,Passenger,640,291,931,91638,92569,1.01
June 30 2020,Washington,OR,Passenger,1,0,1,449,450,0.22
September 30 2022,Wichita,TX,Passenger,2,0,2,38,40,5.00
February 28 2019,Owyhee,ID,Passenger,1,0,1,5,6,16.67
April 30 2017,Fulton,GA,Passenger,1,1,2,118,120,1.67
January 31 2020,Goochland,VA,Passenger,2,1,3,269,272,1.10
August 31 2017,Columbia,WA,Truck,0,0,0,1542,1542,0.00
January 31 2018,Los Angeles,CA,Passenger,4,3,7,1218,1225,0.57
April 30 2023,Kern,CA,Passenger,1,1,2,188,190,1.05
March 31 2020,Jefferson,NY,Passenger,0,1,1,210,211,0.47
May 31 2018,Nassau,NY,Passenger,1,0,1,38,39,2.56
August 31 2021,Vigo,IN,Passenger,1,0,1,5,6,16.67
September 30 2021,Manassas,VA,Passenger,0,1,1,7,8,12.50
October 31 2022,Albemarle,VA,Passenger,2,0,2,18,20,10.00
November 30 2023,Placer,CA,Passenger,1,0,1,54,55,1.82
June 30 2022,Wilson,TX,Passenger,0,1,1,3,4,25.00
December 31 2021,Sevier,AR,Passenger,0,1,1,0,1,100.00
August 31 2018,El Paso,CO,Passenger,3,1,4,766,770,0.52
