station_id,open_time,last_time,total_sessions,total_energy_kwh,num_evses,provider,latitude,longitude,city,state,station_name,operational_days,operational_years
CP_TUA_NW_ATLANTIC_STATION_1_L,2024-11-13 16:22:00.000,2025-11-09 17:30:00.000,483,15361.394,1,ChargePoint,35.361801,-86.209702,Tullahoma,Tennessee,TUA NW ATLANTIC / STATION 1 (L),361,0.9883641341546886
CP_TUA_NW_ATLANTIC_STATION_2_R,2024-11-13 16:07:00.000,2025-11-09 17:17:00.000,499,16576.173,1,ChargePoint,35.361801,-86.209717,Tullahoma,Tennessee,TUA NW ATLANTIC / STATION 2 (R),361,0.9883641341546886
CP_TWICKENHAM_SQ_HU_-_STATION_1,2025-02-17 18:11:00.000,2025-11-10 08:58:00.000,949,36038.015,1,ChargePoint,34.721924,-86.583496,Huntsville,Alabama,TWICKENHAM SQ / HU - STATION 1,265,0.7255304585900069
CP_TWICKENHAM_SQ_HU_-_STATION_2,2025-02-16 21:44:00.000,2025-11-09 23:04:00.000,799,28376.990999999998,1,ChargePoint,34.721905,-86.583511,Huntsville,Alabama,TWICKENHAM SQ / HU - STATION 2,266,0.7282683093771389
CP_TWICKENHAM_SQ_HU_-_STATION_3,2025-02-16 12:38:00.000,2025-11-09 23:50:00.000,537,19476.774,1,ChargePoint,34.721909,-86.583603,Huntsville,Alabama,TWICKENHAM SQ / HU - STATION 3,266,0.7282683093771389
CP_TWICKENHAM_SQ_HU_-_STATION_4,2025-02-16 10:27:00.000,2025-11-10 07:13:00.000,1607,54463.482,1,ChargePoint,34.721889,-86.58358,Huntsville,Alabama,TWICKENHAM SQ / HU - STATION 4,266,0.7282683093771389
CP_UNION_CITY_STATION_2_R,2025-10-17 14:38:00.000,2025-11-08 15:30:00.000,20,608.25,1,ChargePoint,36.422794,-89.05677,Union City,Tennessee,UNION CITY / STATION 2 (R),22,0.06023271731690623
CP_WCMES_CITYHALL1-L,2024-01-24 15:13:00.000,2025-11-09 20:20:00.000,502,17096.286,1,ChargePoint,36.342487,-88.851303,Martin,Tennessee,WCMES / CITYHALL1-L,655,1.7932922655715264
CP_WCMES_CITYHALL2-R,2024-01-24 12:37:00.000,2025-11-09 12:56:00.000,762,26429.938,1,ChargePoint,36.342426,-88.851303,Martin,Tennessee,WCMES / CITYHALL2-R,655,1.7932922655715264
CP_WRECC_STATION_1,2023-11-10 14:59:00.000,2025-11-09 20:53:00.000,790,24405.869,1,ChargePoint,37.377159,-86.826317,Beaver Dam,Kentucky,WRECC / STATION 1,730,1.998631074606434
